team,season,rim_pct,three_pct_shot,jumper_pct,rim_fgpct,three_fgpct,jumper_fgpct,assisted_pct,ft_rate,to_per_game,oreb_per_game,plays_per_game,block_rate,steal_rate
Abilene Christian,2016,0.32272727272727275,0.3153409090909091,0.3619318181818182,0.6742957746478874,0.37657657657657656,0.38618524332810045,0.522673031026253,0.4420454545454545,27.647058823529413,15.588235294117647,309.4117647058824,5.529411764705882,12.176470588235293
Air Force,2016,0.28248315688161696,0.43214629451395575,0.28537054860442734,0.6183986371379898,0.35634743875278396,0.3591905564924115,0.5814732142857143,0.3816169393647738,26.42105263157895,17.68421052631579,315.57894736842104,5.947368421052632,12.578947368421053
Akron,2016,0.3726820443238354,0.42966983265490727,0.19764812302125734,0.558252427184466,0.3705263157894737,0.35469107551487417,0.49741468459152016,0.3143374038896427,21.42105263157895,19.05263157894737,307.42105263157896,5.7894736842105265,10.947368421052632
Alabama,2016,0.30709736123748865,0.3808007279344859,0.31210191082802546,0.5985185185185186,0.3309438470728793,0.35422740524781343,0.461038961038961,0.4294813466787989,23.9,23.55,328.8,7.85,10.65
Alabama State,2016,0.3722067039106145,0.3079608938547486,0.3198324022346369,0.5440900562851783,0.3242630385487528,0.36026200873362446,0.46321070234113715,0.4036312849162011,25.25,24.333333333333332,341.5,6.75,11.25
Alcorn State,2016,0.3283898305084746,0.3305084745762712,0.3411016949152542,0.5419354838709678,0.26282051282051283,0.34782608695652173,0.39779005524861877,0.375,23.25,29.5,334.0,9.75,9.25
American University,2016,0.34325933946940984,0.3546291283161884,0.30211153221440173,0.6356466876971609,0.34045801526717556,0.34946236559139787,0.5200974421437271,0.3887384948565241,24.63157894736842,14.894736842105264,282.6842105263158,3.8947368421052633,11.631578947368421
App State,2016,0.372161480235492,0.33263246425567705,0.29520605550883094,0.5502824858757062,0.34513274336283184,0.36182336182336183,0.4358974358974359,0.3986543313708999,25.05,24.15,338.85,6.55,10.35
Arizona State,2016,0.323943661971831,0.3825533848250795,0.2935029532030895,0.6100981767180925,0.36342042755344417,0.3684210526315789,0.5464759959141982,0.38437074057246706,23.736842105263158,20.05263157894737,328.57894736842104,7.315789473684211,11.0
Arizona,2016,0.35414116687066505,0.3047735618115055,0.34108527131782945,0.6048387096774194,0.37617135207496655,0.35406698564593303,0.4809437386569873,0.35862913096695226,23.05,22.55,338.1,9.35,10.5
Arkansas,2016,0.316166592028661,0.31751007613076576,0.3663233318405732,0.6048158640226629,0.3751763046544429,0.3312958435207824,0.553941908713693,0.4106583072100313,24.736842105263158,22.05263157894737,343.7368421052632,9.263157894736842,12.421052631578947
Arkansas State,2016,0.31947840260798693,0.3573757131214344,0.32314588427057866,0.5229591836734694,0.33979475484606614,0.3707440100882724,0.48303393213572854,0.3859005704971475,23.55,23.6,344.75,6.4,10.6
Arkansas-Pine Bluff,2016,0.31,0.37666666666666665,0.31333333333333335,0.6881720430107527,0.2831858407079646,0.24468085106382978,0.4369747899159664,0.48,30.333333333333332,23.0,318.3333333333333,7.0,14.0
Army,2016,0.40229885057471265,0.35163899531715626,0.24606215410813112,0.5417989417989418,0.3268765133171913,0.3961937716262976,0.49357072205736896,0.3090676883780332,24.94736842105263,22.36842105263158,331.2105263157895,6.631578947368421,11.263157894736842
Auburn,2016,0.3072128227960819,0.3993766696349065,0.2934105075690116,0.5869565217391305,0.3333333333333333,0.3323216995447648,0.5167930660888408,0.40694568121104185,26.210526315789473,24.0,347.0,8.421052631578947,10.736842105263158
