season,teamId,team,conference,offensiveRating,defensiveRating,netRating,rankings
2025,72,Duke,ACC,130.3,90.5,39.8,"{'offense': 1, 'defense': 4, 'net': 1}"
2025,113,Houston,Big 12,123.3,86.9,36.4,"{'offense': 11, 'defense': 1, 'net': 2}"
2025,16,Auburn,SEC,128.4,93.4,35.1,"{'offense': 2, 'defense': 8, 'net': 3}"
2025,87,Florida,SEC,126.5,91.9,34.6,"{'offense': 4, 'defense': 5, 'net': 4}"
2025,102,Gonzaga,WCC,127.6,97.0,30.6,"{'offense': 3, 'defense': 29, 'net': 5}"
2025,292,Tennessee,SEC,120.8,90.3,30.5,"{'offense': 17, 'defense': 3, 'net': 6}"
2025,5,Alabama,SEC,126.4,96.7,29.7,"{'offense': 5, 'defense': 25, 'net': 7}"
2025,160,Maryland,Big Ten,120.2,92.0,28.2,"{'offense': 19, 'defense': 6, 'net': 8}"
2025,298,Texas Tech,Big 12,125.1,97.7,27.4,"{'offense': 6, 'defense': 32, 'net': 9}"
2025,11,Arizona,Big 12,123.6,96.9,26.7,"{'offense': 10, 'defense': 27, 'net': 10}"
2025,169,Michigan State,Big Ten,119.3,92.9,26.4,"{'offense': 24, 'defense': 7, 'net': 11}"
2025,125,Iowa State,Big 12,119.4,93.5,25.9,"{'offense': 22, 'defense': 9, 'net': 12}"
2025,279,St. John's,Big East,115.0,89.5,25.5,"{'offense': 61, 'defense': 2, 'net': 13}"
2025,135,Kentucky,SEC,123.8,99.4,24.3,"{'offense': 9, 'defense': 46, 'net': 14}"
2025,118,Illinois,Big Ten,122.1,97.8,24.3,"{'offense': 15, 'defense': 33, 'net': 14}"
2025,236,Purdue,Big Ten,124.6,100.2,24.3,"{'offense': 7, 'defense': 51, 'net': 14}"
2025,355,Wisconsin,Big Ten,122.5,98.3,24.2,"{'offense': 13, 'defense': 36, 'net': 17}"
2025,253,Saint Mary's,WCC,117.2,93.8,23.5,"{'offense': 41, 'defense': 10, 'net': 18}"
2025,313,UCLA,Big Ten,118.0,94.8,23.2,"{'offense': 30, 'defense': 13, 'net': 19}"
2025,177,Missouri,SEC,124.3,101.4,22.9,"{'offense': 8, 'defense': 69, 'net': 20}"
2025,293,Texas A&M,SEC,117.0,94.7,22.4,"{'offense': 44, 'defense': 12, 'net': 21}"
2025,131,Kansas,Big 12,117.8,95.5,22.3,"{'offense': 33, 'defense': 15, 'net': 22}"
2025,52,Clemson,ACC,117.7,95.5,22.1,"{'offense': 37, 'defense': 15, 'net': 23}"
2025,314,UConn,Big East,122.7,100.9,21.8,"{'offense': 12, 'defense': 59, 'net': 24}"
2025,157,Marquette,Big East,117.3,95.9,21.3,"{'offense': 38, 'defense': 20, 'net': 25}"
2025,150,Louisville,ACC,118.0,96.8,21.2,"{'offense': 30, 'defense': 26, 'net': 26}"
2025,170,Michigan,Big Ten,116.0,94.8,21.2,"{'offense': 57, 'defense': 13, 'net': 26}"
2025,220,Ole Miss,SEC,118.1,96.9,21.2,"{'offense': 29, 'defense': 27, 'net': 26}"
2025,18,BYU,Big 12,122.5,101.4,21.0,"{'offense': 13, 'defense': 69, 'net': 29}"
2025,223,Oregon,Big Ten,117.1,96.4,20.8,"{'offense': 42, 'defense': 23, 'net': 30}"
2025,20,Baylor,Big 12,121.3,100.5,20.8,"{'offense': 16, 'defense': 55, 'net': 30}"
2025,333,VCU,A-10,116.5,95.8,20.7,"{'offense': 47, 'defense': 17, 'net': 32}"
2025,200,North Carolina,ACC,119.9,99.6,20.3,"{'offense': 20, 'defense': 47, 'net': 33}"
2025,216,Ohio State,Big Ten,119.4,99.6,19.8,"{'offense': 22, 'defense': 47, 'net': 34}"
2025,61,Creighton,Big East,117.3,97.8,19.5,"{'offense': 38, 'defense': 33, 'net': 35}"
2025,174,Mississippi State,SEC,118.3,99.2,19.1,"{'offense': 27, 'defense': 42, 'net': 36}"
2025,310,UC San Diego,Big West,115.1,96.3,18.8,"{'offense': 60, 'defense': 22, 'net': 37}"
2025,98,Georgia,SEC,116.5,97.9,18.6,"{'offense': 47, 'defense': 35, 'net': 38}"
2025,12,Arkansas,SEC,114.4,95.8,18.5,"{'offense': 67, 'defense': 17, 'net': 39}"
2025,359,Xavier,Big East,117.8,99.7,18.1,"{'offense': 33, 'defense': 49, 'net': 40}"
2025,25,Boise State,Mountain West,119.0,101.3,17.7,"{'offense': 26, 'defense': 65, 'net': 41}"
2025,295,Texas,SEC,118.2,101.0,17.2,"{'offense': 28, 'defense': 61, 'net': 42}"
