season,teamId,team,conference,elo
2024,1,Abilene Christian,Western Athletic Conference,1676
2024,2,Air Force,Mountain West Conference,1546
2024,3,Akron,Mid-American Conference,1836
2024,5,Alabama,Southeastern Conference,2101
2024,4,Alabama A&M,Southwestern Athletic Conference,1529
2024,6,Alabama State,Southwestern Athletic Conference,1429
2024,7,Alcorn State,Southwestern Athletic Conference,1494
2024,8,American University,Patriot League,1561
2024,9,App State,Sun Belt Conference,2007
2024,11,Arizona,Pac-12 Conference,2155
2024,10,Arizona State,Pac-12 Conference,1625
2024,12,Arkansas,Southeastern Conference,1737
2024,14,Arkansas-Pine Bluff,Southwestern Athletic Conference,1455
2024,13,Arkansas State,Sun Belt Conference,1888
2024,15,Army,Patriot League,1358
2024,16,Auburn,Southeastern Conference,2274
2024,17,Austin Peay,ASUN Conference,1663
2024,19,Ball State,Mid-American Conference,1659
2024,20,Baylor,Big 12 Conference,2109
2024,21,Bellarmine,ASUN Conference,1576
2024,22,Belmont,Missouri Valley Conference,1920
2024,23,Bethune-Cookman,Southwestern Athletic Conference,1540
2024,24,Binghamton,America East Conference,1672
2024,25,Boise State,Mountain West Conference,2050
2024,26,Boston College,Atlantic Coast Conference,1862
2024,27,Boston University,Patriot League,1646
2024,28,Bowling Green,Mid-American Conference,1692
2024,29,Bradley,Missouri Valley Conference,1989
2024,30,Brown,Ivy League,1818
2024,31,Bryant,America East Conference,1825
2024,32,Bucknell,Patriot League,1730
2024,33,Buffalo,Mid-American Conference,1368
2024,34,Butler,Big East Conference,1748
2024,18,BYU,Big 12 Conference,2035
2024,40,California,Pac-12 Conference,1641
2024,39,California Baptist,Western Athletic Conference,1664
2024,35,Cal Poly,Big West Conference,1461
2024,36,Cal State Bakersfield,Big West Conference,1715
2024,37,Cal State Fullerton,Big West Conference,1672
2024,38,Cal State Northridge,Big West Conference,1601
2024,41,Campbell,Coastal Athletic Association,1576
2024,42,Canisius,Metro Atlantic Athletic Conference,1541
2024,43,Central Arkansas,ASUN Conference,1452
2024,44,Central Connecticut,Northeast Conference,1667
2024,45,Central Michigan,Mid-American Conference,1596
2024,46,Charleston,Coastal Athletic Association,2014
2024,47,Charleston Southern,Big South Conference,1547
2024,48,Charlotte,American Athletic Conference,1756
2024,49,Chattanooga,Southern Conference,1873
2024,50,Chicago State,Division I Independents,1745
2024,51,Cincinnati,Big 12 Conference,2067
2024,52,Clemson,Atlantic Coast Conference,2031
2024,53,Cleveland State,Horizon League,1697
2024,54,Coastal Carolina,Sun Belt Conference,1520
2024,55,Colgate,Patriot League,1852
2024,56,Colorado,Pac-12 Conference,2017
2024,57,Colorado State,Mountain West Conference,2004
2024,58,Columbia,Ivy League,1708
2024,59,Coppin State,Mid-Eastern Athletic Conference,1287
2024,60,Cornell,Ivy League,1958
2024,61,Creighton,Big East Conference,2111
2024,62,Dartmouth,Ivy League,1497
2024,63,Davidson,Atlantic 10 Conference,1737
2024,64,Dayton,Atlantic 10 Conference,1975
2024,66,Delaware,Coastal Athletic Association,1718
2024,67,Delaware State,Mid-Eastern Athletic Conference,1677
2024,68,Denver,Summit League,1646
2024,65,DePaul,Big East Conference,1297
2024,69,Detroit Mercy,Horizon League,1441
2024,70,Drake,Missouri Valley Conference,2018
2024,71,Drexel,Coastal Athletic Association,1872
2024,72,Duke,Atlantic Coast Conference,2195
2024,73,Duquesne,Atlantic 10 Conference,1882
2024,74,East Carolina,American Athletic Conference,1598
2024,77,Eastern Illinois,Ohio Valley Conference,1649
2024,78,Eastern Kentucky,ASUN Conference,1756
2024,79,Eastern Michigan,Mid-American Conference,1459
2024,80,Eastern Washington,Big Sky Conference,1834
2024,75,East Tennessee State,Southern Conference,1871
2024,76,East Texas A&M,Southland Conference,1490
2024,81,Elon,Coastal Athletic Association,1517
2024,82,Evansville,Missouri Valley Conference,1601
2024,83,Fairfield,Metro Atlantic Athletic Conference,1733
2024,84,Fairleigh Dickinson,Northeast Conference,1506
2024,87,Florida,Southeastern Conference,2017
2024,85,Florida A&M,Southwestern Athletic Conference,1390
2024,86,Florida Atlantic,American Athletic Conference,1964
2024,88,Florida Gulf Coast,ASUN Conference,1722
2024,89,Florida International,Conference USA,1646
2024,90,Florida State,Atlantic Coast Conference,1764
2024,91,Fordham,Atlantic 10 Conference,1661
2024,92,Fresno State,Mountain West Conference,1571
2024,93,Furman,Southern Conference,1847
2024,94,Gardner-Webb,Big South Conference,1695
2024,95,George Mason,Atlantic 10 Conference,1827
2024,97,Georgetown,Big East Conference,1493
2024,96,George Washington,Atlantic 10 Conference,1615
2024,98,Georgia,Southeastern Conference,1777
2024,99,Georgia Southern,Sun Belt Conference,1689
2024,100,Georgia State,Sun Belt Conference,1705
2024,101,Georgia Tech,Atlantic Coast Conference,1614
2024,102,Gonzaga,West Coast Conference,2218
2024,103,Grambling,Southwestern Athletic Conference,1610
2024,104,Grand Canyon,Western Athletic Conference,2076
2024,105,Green Bay,Horizon League,1600
2024,106,Hampton,Coastal Athletic Association,1440
2024,107,Harvard,Ivy League,1645
2024,108,Hawai'i,Big West Conference,1791
2024,109,High Point,Big South Conference,1920
2024,110,Hofstra,Coastal Athletic Association,1933
2024,111,Holy Cross,Patriot League,1504
2024,113,Houston,Big 12 Conference,2305
2024,112,Houston Christian,Southland Conference,1316
2024,114,Howard,Mid-Eastern Athletic Conference,1673
2024,117,Idaho,Big Sky Conference,1492
2024,116,Idaho State,Big Sky Conference,1728
2024,118,Illinois,Big Ten Conference,2164
2024,119,Illinois State,Missouri Valley Conference,1727
2024,120,Incarnate Word,Southland Conference,1393
2024,121,Indiana,Big Ten Conference,1763
2024,122,Indiana State,Missouri Valley Conference,2045
2024,123,Iona,Metro Atlantic Athletic Conference,1537
2024,124,Iowa,Big Ten Conference,1890
2024,125,Iowa State,Big 12 Conference,2286
2024,115,IU Indianapolis,Horizon League,1271
2024,126,Jackson State,Southwestern Athletic Conference,1487
2024,127,Jacksonville,ASUN Conference,1665
2024,128,Jacksonville State,Conference USA,1725
2024,129,James Madison,Sun Belt Conference,1995
2024,131,Kansas,Big 12 Conference,1940
2024,130,Kansas City,Summit League,1886
2024,132,Kansas State,Big 12 Conference,1873
2024,133,Kennesaw State,ASUN Conference,1642
2024,134,Kent State,Mid-American Conference,1810
2024,135,Kentucky,Southeastern Conference,2039
2024,138,Lafayette,Patriot League,1512
2024,139,Lamar,Southland Conference,1746
2024,137,La Salle,Atlantic 10 Conference,1713
2024,141,Lehigh,Patriot League,1751
2024,140,Le Moyne,Northeast Conference,1670
2024,142,Liberty,Conference USA,1762
2024,366,Lindenwood,Ohio Valley Conference,1462
2024,143,Lipscomb,ASUN Conference,1810
2024,144,Little Rock,Ohio Valley Conference,1938
2024,145,Long Beach State,Big West Conference,1777
2024,146,Long Island University,Northeast Conference,1488
2024,147,Longwood,Big South Conference,1818
2024,148,Louisiana,Sun Belt Conference,1715
2024,149,Louisiana Tech,Conference USA,1921
2024,150,Louisville,Atlantic Coast Conference,1520
2024,151,Loyola Chicago,Atlantic 10 Conference,1902
2024,152,Loyola Maryland,Patriot League,1397
2024,153,Loyola Marymount,West Coast Conference,1641
2024,136,LSU,Southeastern Conference,1748
2024,154,Maine,America East Conference,1684
2024,155,Manhattan,Metro Atlantic Athletic Conference,1344
2024,156,Marist,Metro Atlantic Athletic Conference,1626
2024,157,Marquette,Big East Conference,2047
2024,158,Marshall,Sun Belt Conference,1651
2024,160,Maryland,Big Ten Conference,1793
2024,159,Maryland Eastern Shore,Mid-Eastern Athletic Conference,1523
2024,161,Massachusetts,Atlantic 10 Conference,1852
2024,162,McNeese,Southland Conference,1997
2024,163,Memphis,American Athletic Conference,1934
2024,164,Mercer,Southern Conference,1767
2024,166,Merrimack,Northeast Conference,1721
2024,168,Miami,Atlantic Coast Conference,1646
2024,167,Miami (OH),Mid-American Conference,1621
2024,170,Michigan,Big Ten Conference,1571
2024,169,Michigan State,Big Ten Conference,2012
2024,171,Middle Tennessee,Conference USA,1587
2024,172,Milwaukee,Horizon League,1747
2024,173,Minnesota,Big Ten Conference,1791
2024,174,Mississippi State,Southeastern Conference,1991
2024,175,Mississippi Valley State,Southwestern Athletic Conference,1166
2024,177,Missouri,Southeastern Conference,1613
2024,176,Missouri State,Missouri Valley Conference,1722
2024,178,Monmouth,Coastal Athletic Association,1729
2024,179,Montana,Big Sky Conference,1792
2024,180,Montana State,Big Sky Conference,1773
2024,181,Morehead State,Ohio Valley Conference,2003
2024,182,Morgan State,Mid-Eastern Athletic Conference,1539
2024,183,Mount St. Mary's,Metro Atlantic Athletic Conference,1620
2024,184,Murray State,Missouri Valley Conference,1658
2024,187,Navy,Patriot League,1581
2024,185,NC State,Atlantic Coast Conference,2064
2024,188,Nebraska,Big Ten Conference,1975
2024,189,Nevada,Mountain West Conference,2038
2024,190,New Hampshire,America East Conference,1655
2024,191,New Mexico,Mountain West Conference,2057
2024,192,New Mexico State,Conference USA,1533
2024,193,New Orleans,Southland Conference,1463
2024,194,Niagara,Metro Atlantic Athletic Conference,1542
2024,195,Nicholls,Southland Conference,1788
2024,186,NJIT,America East Conference,1496
2024,196,Norfolk State,Mid-Eastern Athletic Conference,1758
2024,197,North Alabama,ASUN Conference,1681
2024,200,North Carolina,Atlantic Coast Conference,2171
2024,198,North Carolina A&T,Coastal Athletic Association,1364
2024,199,North Carolina Central,Mid-Eastern Athletic Conference,1753
2024,201,North Dakota,Summit League,1881
2024,202,North Dakota State,Summit League,1737
2024,205,Northeastern,Coastal Athletic Association,1622
2024,206,Northern Arizona,Big Sky Conference,1529
2024,207,Northern Colorado,Big Sky Conference,1739
2024,208,Northern Illinois,Mid-American Conference,1509
2024,209,Northern Iowa,Missouri Valley Conference,1825
2024,210,Northern Kentucky,Horizon League,1742
2024,203,North Florida,ASUN Conference,1704
2024,204,North Texas,American Athletic Conference,1874
2024,212,Northwestern,Big Ten Conference,1987
2024,211,Northwestern State,Southland Conference,1565
2024,213,Notre Dame,Atlantic Coast Conference,1745
2024,214,Oakland,Horizon League,1864
2024,215,Ohio,Mid-American Conference,1910
2024,216,Ohio State,Big Ten Conference,1968
2024,217,Oklahoma,Big 12 Conference,1927
2024,218,Oklahoma State,Big 12 Conference,1761
2024,219,Old Dominion,Sun Belt Conference,1575
2024,220,Ole Miss,Southeastern Conference,1711
2024,221,Omaha,Summit League,1700
2024,222,Oral Roberts,Summit League,1652
2024,223,Oregon,Pac-12 Conference,1948
2024,224,Oregon State,Pac-12 Conference,1651
2024,225,Pacific,West Coast Conference,1119
2024,226,Penn State,Big Ten Conference,1850
2024,227,Pennsylvania,Ivy League,1680
2024,228,Pepperdine,West Coast Conference,1687
2024,229,Pittsburgh,Atlantic Coast Conference,2002
2024,230,Portland,West Coast Conference,1503
2024,231,Portland State,Big Sky Conference,1658
2024,232,Prairie View A&M,Southwestern Athletic Conference,1346
2024,233,Presbyterian,Big South Conference,1723
2024,234,Princeton,Ivy League,1962
2024,235,Providence,Big East Conference,1822
2024,236,Purdue,Big Ten Conference,2277
2024,237,Purdue Fort Wayne,Horizon League,1840
2024,362,Queens University,ASUN Conference,1700
2024,238,Quinnipiac,Metro Atlantic Athletic Conference,1769
2024,239,Radford,Big South Conference,1707
2024,240,Rhode Island,Atlantic 10 Conference,1564
2024,241,Rice,American Athletic Conference,1586
2024,242,Richmond,Atlantic 10 Conference,1798
2024,243,Rider,Metro Atlantic Athletic Conference,1692
2024,244,Robert Morris,Horizon League,1560
2024,245,Rutgers,Big Ten Conference,1709
2024,249,Sacramento State,Big Sky Conference,1588
2024,250,Sacred Heart,Northeast Conference,1663
2024,251,Saint Joseph's,Atlantic 10 Conference,1860
2024,252,Saint Louis,Atlantic 10 Conference,1630
2024,253,Saint Mary's,West Coast Conference,2145
2024,254,Saint Peter's,Metro Atlantic Athletic Conference,1613
2024,256,Samford,Southern Conference,1994
2024,255,Sam Houston,Conference USA,1909
2024,258,San Diego,West Coast Conference,1450
2024,257,San Diego State,Mountain West Conference,2102
2024,259,San Francisco,West Coast Conference,1915
2024,260,San José State,Mountain West Conference,1563
2024,261,Santa Clara,West Coast Conference,1813
2024,262,Seattle U,Western Athletic Conference,1972
2024,246,SE Louisiana,Southland Conference,1524
2024,263,Seton Hall,Big East Conference,1946
2024,264,Siena,Metro Atlantic Athletic Conference,1249
2024,247,SIU Edwardsville,Ohio Valley Conference,1728
2024,248,SMU,American Athletic Conference,1862
2024,265,South Alabama,Sun Belt Conference,1688
2024,266,South Carolina,Southeastern Conference,1863
2024,267,South Carolina State,Mid-Eastern Athletic Conference,1618
2024,268,South Carolina Upstate,Big South Conference,1638
2024,269,South Dakota,Summit League,1573
2024,270,South Dakota State,Summit League,1972
2024,272,Southeast Missouri State,Ohio Valley Conference,1539
2024,274,Southern,Southwestern Athletic Conference,1523
2024,273,Southern Illinois,Missouri Valley Conference,1760
2024,365,Southern Indiana,Ohio Valley Conference,1597
2024,275,Southern Miss,Sun Belt Conference,1599
2024,276,Southern Utah,Western Athletic Conference,1581
2024,271,South Florida,American Athletic Conference,1907
2024,281,Stanford,Pac-12 Conference,1733
2024,277,St. Bonaventure,Atlantic 10 Conference,1795
2024,282,Stephen F. Austin,Western Athletic Conference,1714
2024,283,Stetson,ASUN Conference,1688
2024,278,St. Francis (PA),Northeast Conference,1368
2024,279,St. John's,Big East Conference,2045
2024,284,Stonehill,Northeast Conference,1335
2024,285,Stony Brook,Coastal Athletic Association,1780
2024,280,St. Thomas-Minnesota,Summit League,1929
2024,286,Syracuse,Atlantic Coast Conference,1734
2024,288,Tarleton State,Western Athletic Conference,1902
2024,287,TCU,Big 12 Conference,1951
2024,289,Temple,American Athletic Conference,1703
2024,292,Tennessee,Southeastern Conference,2178
2024,290,Tennessee State,Ohio Valley Conference,1696
2024,291,Tennessee Tech,Ohio Valley Conference,1558
2024,295,Texas,Big 12 Conference,2072
2024,293,Texas A&M,Southeastern Conference,2042
2024,294,Texas A&M-Corpus Christi,Southland Conference,1762
2024,296,Texas Southern,Southwestern Athletic Conference,1612
2024,297,Texas State,Sun Belt Conference,1800
2024,298,Texas Tech,Big 12 Conference,2013
2024,299,The Citadel,Southern Conference,1624
2024,300,Toledo,Mid-American Conference,1878
2024,301,Towson,Coastal Athletic Association,1876
2024,302,Troy,Sun Belt Conference,1890
2024,303,Tulane,American Athletic Conference,1732
2024,304,Tulsa,American Athletic Conference,1629
2024,305,UAB,American Athletic Conference,1918
2024,306,UAlbany,America East Conference,1734
2024,307,UC Davis,Big West Conference,1771
2024,312,UCF,Big 12 Conference,1926
2024,308,UC Irvine,Big West Conference,1952
