season,seasonLabel,teamId,team,conference,athleteId,athleteSourceId,name,position,games,starts,minutes,points,turnovers,fouls,assists,steals,blocks,offensiveRating,defensiveRating,netRating,PORPAG,usage,assistsTurnoverRatio,offensiveReboundPct,freeThrowRate,effectiveFieldGoalPct,trueShootingPct,fieldGoals_made,fieldGoals_attempted,fieldGoals_pct,twoPointFieldGoals_made,twoPointFieldGoals_attempted,twoPointFieldGoals_pct,threePointFieldGoals_made,threePointFieldGoals_attempted,threePointFieldGoals_pct,freeThrows_made,freeThrows_attempted,freeThrows_pct,rebounds_offensive,rebounds_defensive,rebounds_total,winShares_offensive,winShares_defensive,winShares_total,winShares_totalPer40
2017,20162017,1,Abilene Christian,Southland,25994,3922057,B.J. Maxwell,G,17,0,179,58,12,30,10,5,3,106.3,109.1,-2.8,0.5,17.5,0.83,40.6,2.2,62.0,0.624,23,46,50.0,12,23,52.2,11,23,47.8,1,1,100.0,13,19,32,0.2,0.2,0.4,0.089
2017,20162017,1,Abilene Christian,Southland,36149,4067621,Payten Ricks,G,28,5,374,97,36,33,34,20,0,85.4,107.7,-22.3,-0.1,19.6,0.94,7.1,57.7,41.7,0.496,28,78,35.9,19,42,45.2,9,36,25.0,32,45,71.1,2,26,28,-0.2,0.4,0.2,0.021
2017,20162017,1,Abilene Christian,Southland,36150,3922060,Hayden Howell,F,29,19,451,149,43,79,17,5,12,85.9,109.4,-23.5,-0.1,23.8,0.4,41.6,44.5,45.7,0.487,58,128,45.3,57,124,46.0,1,4,25.0,32,57,56.1,37,52,89,-0.3,0.4,0.1,0.009
2017,20162017,1,Abilene Christian,Southland,36151,4067622,Trey Lenox,G,26,0,201,22,16,31,10,5,1,61.3,111.5,-50.2,-0.4,12.3,0.63,16.7,10.7,35.7,0.375,8,28,28.6,4,14,28.6,4,14,28.6,2,3,66.7,3,15,18,-0.4,0.1,-0.3,-0.06
2017,20162017,1,Abilene Christian,Southland,42097,3922056,Jaren Lewis,F,29,28,939,397,75,72,61,53,12,103.8,102.3,1.5,2.0,24.5,0.81,20.5,43.3,53.1,0.577,148,289,51.2,137,255,53.7,11,34,32.4,90,125,72.0,39,151,190,1.3,1.4,2.7,0.115
2017,20162017,1,Abilene Christian,Southland,42098,4067623,Jalone Friday,C,26,10,563,357,41,95,9,12,34,115.6,102.0,13.6,2.9,30.9,0.22,28.9,38.7,60.0,0.649,123,235,52.3,87,156,55.8,36,79,45.6,75,91,82.4,41,101,142,1.9,0.8,2.7,0.192
2017,20162017,1,Abilene Christian,Southland,42099,3922055,Jaylen Franklin,G,26,25,896,282,65,62,115,48,8,94.0,107.1,-13.1,0.7,21.8,1.77,12.2,43.4,47.2,0.476,115,249,46.2,110,220,50.0,5,29,17.2,47,108,43.5,12,86,98,0.2,0.9,1.1,0.049
2017,20162017,1,Abilene Christian,Southland,42100,3922059,Hayden Farquhar,F,29,5,413,191,25,56,20,9,5,112.2,107.2,5.0,1.3,23.6,0.8,30.8,16.9,62.0,0.626,70,142,49.3,34,64,53.1,36,78,46.2,15,24,62.5,28,63,91,0.9,0.4,1.3,0.126
2017,20162017,1,Abilene Christian,Southland,47386,3152349,Drake Green,G,27,19,648,153,23,61,30,22,6,105.1,110.8,-5.7,0.9,13.2,1.3,7.3,7.0,55.8,0.575,50,129,38.8,6,20,30.0,44,109,40.4,9,9,100.0,4,51,55,0.5,0.4,0.9,0.056
2017,20162017,1,Abilene Christian,Southland,47387,3152347,Isaiah Tripp,G,29,14,662,175,31,69,46,16,1,108.4,112.7,-4.3,1.1,15.0,1.48,19.0,36.4,53.5,0.585,55,129,42.6,27,51,52.9,28,78,35.9,37,47,78.7,8,34,42,0.8,0.3,1.1,0.066
2017,20162017,1,Abilene Christian,Southland,50277,4067624,Jadon Reynolds,G,5,0,8,0,2,0,0,0,0,0.0,96.9,-96.9,-0.5,20.4,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,1,-0.1,0.0,-0.1,-0.5
