season,teamId,team,conference,rating
2020,102,Gonzaga,WCC,16.5
2020,131,Kansas,Big 12,16.2
2020,72,Duke,ACC,15.8
2020,64,Dayton,A-10,15.4
2020,257,San Diego State,Mountain West,14.0
2020,169,Michigan State,Big Ten,12.1
2020,150,Louisville,ACC,12.1
2020,20,Baylor,Big 12,12.0
2020,18,BYU,WCC,12.0
2020,90,Florida State,ACC,11.4
2020,11,Arizona,Pac-12,11.2
2020,216,Ohio State,Big Ten,11.1
2020,347,West Virginia,Big 12,10.8
2020,223,Oregon,Pac-12,10.2
2020,337,Vermont,Am. East,10.2
2020,113,Houston,American,9.9
2020,135,Kentucky,SEC,9.8
2020,160,Maryland,Big Ten,9.6
2020,16,Auburn,SEC,9.6
2020,142,Liberty,ASUN,9.5
2020,75,East Tennessee State,SoCon,9.5
2020,242,Richmond,A-10,9.3
2020,61,Creighton,Big East,9.2
2020,282,Stephen F. Austin,Southland,9.1
2020,236,Purdue,Big Ten,9.1
2020,360,Yale,Ivy,9.0
2020,136,LSU,SEC,9.0
2020,170,Michigan,Big Ten,8.9
2020,298,Texas Tech,Big 12,8.9
2020,329,Utah State,Mountain West,8.8
2020,263,Seton Hall,Big East,8.7
2020,338,Villanova,Big East,8.6
2020,87,Florida,SEC,8.5
2020,209,Northern Iowa,MVC,8.4
2020,22,Belmont,OVC,8.3
2020,192,New Mexico State,WAC,8.3
2020,355,Wisconsin,Big Ten,8.2
2020,352,Wichita State,American,8.2
2020,12,Arkansas,SEC,8.1
2020,226,Penn State,Big Ten,8.0
2020,34,Butler,Big East,7.7
2020,124,Iowa,Big Ten,7.6
2020,207,Northern Colorado,Big Sky,7.6
2020,93,Furman,SoCon,7.5
2020,3,Akron,MAC,7.5
2020,245,Rutgers,Big Ten,7.5
2020,157,Marquette,Big East,7.4
2020,174,Mississippi State,SEC,7.4
2020,51,Cincinnati,American,7.2
2020,173,Minnesota,Big Ten,7.2
2020,333,VCU,A-10,7.1
2020,320,UNC Greensboro,SoCon,7.0
2020,118,Illinois,Big Ten,7.0
2020,253,Saint Mary's,WCC,6.9
2020,204,North Texas,CUSA,6.8
2020,149,Louisiana Tech,CUSA,6.7
2020,121,Indiana,Big Ten,6.7
2020,252,Saint Louis,A-10,6.6
2020,354,Winthrop,Big South,6.6
2020,56,Colorado,Pac-12,6.4
2020,63,Davidson,A-10,6.4
2020,240,Rhode Island,A-10,6.3
2020,163,Memphis,American,6.3
2020,185,NC State,ACC,6.3
2020,281,Stanford,Pac-12,6.2
2020,292,Tennessee,SEC,6.2
2020,339,Virginia,ACC,6.1
2020,5,Alabama,SEC,5.9
2020,235,Providence,Big East,5.8
2020,266,South Carolina,SEC,5.8
2020,357,Wright State,Horizon,5.8
2020,286,Syracuse,ACC,5.8
2020,213,Notre Dame,ACC,5.7
2020,55,Colgate,Patriot,5.7
2020,110,Hofstra,CAA,5.5
2020,314,UConn,American,5.3
2020,184,Murray State,OVC,5.3
2020,217,Oklahoma,Big 12,5.3
2020,202,North Dakota State,Summit,5.2
2020,189,Nevada,Mountain West,5.0
2020,308,UC Irvine,Big West,5.0
2020,343,Washington,Pac-12,5.0
2020,73,Duquesne,A-10,5.0
2020,270,South Dakota State,Summit,4.8
2020,297,Texas State,Sun Belt,4.8
2020,259,San Francisco,WCC,4.8
2020,359,Xavier,Big East,4.7
2020,151,Loyola Chicago,MVC,4.5
2020,222,Oral Roberts,Summit,4.4
2020,248,SMU,American,4.3
2020,101,Georgia Tech,ACC,4.3
2020,210,Northern Kentucky,Horizon,4.2
2020,29,Bradley,MVC,4.1
2020,80,Eastern Washington,Big Sky,4.0
2020,107,Harvard,Ivy,4.0
2020,25,Boise State,Mountain West,3.9
2020,323,USC,Pac-12,3.8
2020,19,Ball State,MAC,3.8
2020,264,Siena,MAAC,3.8
2020,52,Clemson,ACC,3.7
2020,134,Kent State,MAC,3.7
2020,10,Arizona State,Pac-12,3.6
2020,177,Missouri,SEC,3.5
2020,350,Western Kentucky,CUSA,3.4
2020,100,Georgia State,Sun Belt,3.4
2020,278,St. Francis (PA),NEC,3.4
2020,99,Georgia Southern,Sun Belt,3.3
2020,218,Oklahoma State,Big 12,3.3
2020,279,St. John's,Big East,3.1
2020,203,North Florida,ASUN,3.0
2020,144,Little Rock,Sun Belt,3.0
2020,239,Radford,Big South,3.0
2020,277,St. Bonaventure,A-10,3.0
2020,57,Colorado State,Mountain West,2.8
2020,27,Boston University,Patriot,2.8
2020,39,California Baptist,WAC,2.7
2020,304,Tulsa,American,2.7
2020,1,Abilene Christian,Southland,2.6
2020,122,Indiana State,MVC,2.6
2020,200,North Carolina,ACC,2.6
2020,313,UCLA,Pac-12,2.6
2020,295,Texas,Big 12,2.6
2020,17,Austin Peay,OVC,2.6
2020,98,Georgia,SEC,2.5
2020,176,Missouri State,MVC,2.4
2020,179,Montana,Big Sky,2.4
2020,97,Georgetown,Big East,2.3
2020,311,UC Santa Barbara,Big West,2.3
2020,322,UNLV,Mountain West,2.3
2020,220,Ole Miss,SEC,2.2
2020,205,Northeastern,CAA,2.2
2020,225,Pacific,WCC,2.2
2020,224,Oregon State,Pac-12,2.2
2020,49,Chattanooga,SoCon,2.2
2020,276,Southern Utah,Big Sky,2.2
2020,340,Virginia Tech,ACC,2.1
2020,285,Stony Brook,Am. East,2.0
2020,195,Nicholls,Southland,1.9
2020,243,Rider,MAAC,1.7
2020,227,Pennsylvania,Ivy,1.6
2020,158,Marshall,CUSA,1.6
2020,300,Toledo,MAC,1.6
2020,348,Western Carolina,SoCon,1.5
2020,301,Towson,CAA,1.5
2020,324,UT Arlington,Sun Belt,1.4
2020,356,Wofford,SoCon,1.4
2020,287,TCU,Big 12,1.3
2020,265,South Alabama,Sun Belt,1.2
2020,46,Charleston,CAA,1.1
