season,seasonLabel,teamId,team,conference,games,wins,losses,totalMinutes,pace,teamStats_assists,teamStats_blocks,teamStats_steals,teamStats_possessions,teamStats_trueShooting,teamStats_rating,teamStats_fieldGoals_made,teamStats_fieldGoals_attempted,teamStats_fieldGoals_pct,teamStats_twoPointFieldGoals_made,teamStats_twoPointFieldGoals_attempted,teamStats_twoPointFieldGoals_pct,teamStats_threePointFieldGoals_made,teamStats_threePointFieldGoals_attempted,teamStats_threePointFieldGoals_pct,teamStats_freeThrows_made,teamStats_freeThrows_attempted,teamStats_freeThrows_pct,teamStats_rebounds_offensive,teamStats_rebounds_defensive,teamStats_rebounds_total,teamStats_turnovers_total,teamStats_turnovers_teamTotal,teamStats_fouls_total,teamStats_fouls_technical,teamStats_fouls_flagrant,teamStats_points_total,teamStats_points_inPaint,teamStats_points_offTurnovers,teamStats_points_fastBreak,teamStats_fourFactors_effectiveFieldGoalPct,teamStats_fourFactors_turnoverRatio,teamStats_fourFactors_offensiveReboundPct,teamStats_fourFactors_freeThrowRate,opponentStats_assists,opponentStats_blocks,opponentStats_steals,opponentStats_possessions,opponentStats_trueShooting,opponentStats_rating,opponentStats_fieldGoals_made,opponentStats_fieldGoals_attempted,opponentStats_fieldGoals_pct,opponentStats_twoPointFieldGoals_made,opponentStats_twoPointFieldGoals_attempted,opponentStats_twoPointFieldGoals_pct,opponentStats_threePointFieldGoals_made,opponentStats_threePointFieldGoals_attempted,opponentStats_threePointFieldGoals_pct,opponentStats_freeThrows_made,opponentStats_freeThrows_attempted,opponentStats_freeThrows_pct,opponentStats_rebounds_offensive,opponentStats_rebounds_defensive,opponentStats_rebounds_total,opponentStats_turnovers_total,opponentStats_turnovers_teamTotal,opponentStats_fouls_total,opponentStats_fouls_technical,opponentStats_fouls_flagrant,opponentStats_points_total,opponentStats_points_inPaint,opponentStats_points_offTurnovers,opponentStats_points_fastBreak,opponentStats_fourFactors_effectiveFieldGoalPct,opponentStats_fourFactors_turnoverRatio,opponentStats_fourFactors_offensiveReboundPct,opponentStats_fourFactors_freeThrowRate
2024,20232024,1,Abilene Christian,WAC,34,16,18,1405,61.6,431,72,262,2165,52.8,113.3,861,1987,43.3,681,1457,46.7,180,530,34.0,550,757,72.7,329,810,1139,434,15,666,6,0,2452,1196,483,326,47.9,0.2,28.9,38.1,420,113,227,2162,55.3,115.6,888,1923,46.2,689,1310,52.6,199,613,32.5,525,766,68.5,342,909,1251,495,23,644,6,0,2500,1198,445,341,51.4,0.23,27.3,39.8
2024,20232024,2,Air Force,Mountain West,31,9,22,1270,62.0,451,122,202,1971,56.6,104.1,727,1604,45.3,454,847,53.6,273,757,36.1,324,475,68.2,225,647,872,372,39,542,9,0,2051,842,373,127,53.8,0.19,25.8,29.6,386,96,178,1967,58.7,114.0,774,1631,47.5,555,1033,53.7,219,598,36.6,476,637,74.7,297,719,1016,348,6,497,8,0,2243,1014,431,286,54.2,0.18,29.2,39.1
2024,20232024,3,Akron,MAC,35,24,11,1415,63.8,455,100,197,2257,56.0,114.2,915,2018,45.3,635,1155,55.0,280,863,32.4,467,642,72.7,363,914,1277,394,25,583,11,0,2577,1108,467,280,52.3,0.17,28.4,31.8,391,87,205,2257,51.9,102.6,853,1985,43.0,629,1247,50.4,224,738,30.4,386,561,68.8,306,822,1128,400,23,598,4,0,2316,1066,395,274,48.6,0.18,27.1,28.3
2024,20232024,4,Alabama A&M,SWAC,35,12,23,1415,63.0,369,136,261,2227,52.1,108.4,806,1918,42.0,658,1402,46.9,148,516,28.7,654,906,72.2,392,853,1245,565,30,727,5,0,2414,1126,521,451,45.9,0.25,31.5,47.2,463,114,331,2232,55.1,118.9,856,2010,42.6,595,1268,46.9,261,742,35.2,680,908,74.9,413,841,1254,488,25,701,4,0,2653,1066,667,538,49.1,0.22,32.9,45.2
2024,20232024,5,Alabama,SEC,37,25,12,1510,72.7,587,162,256,2746,60.5,121.4,1136,2385,47.6,723,1277,56.6,413,1108,37.3,650,842,77.2,472,995,1467,437,8,738,20,0,3335,1376,531,507,56.3,0.16,32.2,35.3,472,163,273,2745,54.6,109.5,1028,2351,43.7,751,1478,50.8,277,873,31.7,673,912,73.8,446,878,1324,418,17,739,8,0,3006,1256,483,322,49.6,0.15,33.7,38.8
2024,20232024,6,Alabama State,SWAC,32,13,19,1330,65.5,345,123,277,2188,46.8,100.3,772,2087,37.0,549,1294,42.4,223,793,28.1,428,592,72.3,451,809,1260,361,14,609,4,0,2195,896,488,472,42.3,0.16,35.8,28.4,385,152,196,2170,53.5,102.4,721,1751,41.2,476,1025,46.4,245,726,33.7,534,736,72.6,316,942,1258,468,31,514,5,0,2221,784,387,363,48.2,0.22,25.1,42.0
2024,20232024,7,Alcorn State,SWAC,32,14,18,1295,62.3,371,56,220,2018,53.3,114.0,818,1851,44.2,652,1359,48.0,166,492,33.7,498,699,71.2,360,726,1086,370,21,568,12,0,2300,1008,430,355,48.7,0.18,33.1,37.8,500,129,203,2014,58.7,123.0,841,1818,46.3,530,990,53.5,311,828,37.6,484,666,72.7,316,712,1028,378,21,573,9,0,2477,914,473,336,54.8,0.19,30.7,36.6
2024,20232024,8,American University,Patriot,32,16,16,1310,61.6,449,54,186,2015,56.2,109.2,782,1740,44.9,503,946,53.2,279,794,35.1,355,492,72.2,287,756,1043,347,30,527,8,0,2200,908,392,205,53.0,0.17,27.5,28.3,403,78,160,2020,56.4,107.7,776,1706,45.5,504,973,51.8,272,733,37.1,352,508,69.3,255,724,979,345,18,515,6,0,2176,866,371,198,53.5,0.17,26.0,29.8
2024,20232024,9,App State,Sun Belt,34,27,7,1440,66.6,498,230,209,2397,55.8,111.2,997,2100,47.5,773,1426,54.2,224,674,33.2,447,657,68.0,373,1043,1416,365,20,449,3,0,2665,1366,413,390,52.8,0.15,26.3,31.3,349,84,234,2401,46.9,95.1,865,2225,38.9,639,1493,42.8,226,732,30.9,327,472,69.3,393,843,1236,356,11,557,3,0,2283,1030,387,305,44.0,0.15,31.8,21.2
2024,20232024,10,Arizona State,Pac-12,32,14,18,1295,67.4,385,117,263,2184,50.7,101.1,791,1901,41.6,576,1185,48.6,215,716,30.0,412,629,65.5,269,795,1064,335,14,534,22,0,2209,990,459,465,47.3,0.15,25.3,33.1,490,85,186,2178,55.2,108.7,850,1887,45.0,599,1147,52.2,251,740,33.9,417,589,70.8,338,960,1298,439,20,536,19,0,2368,1038,340,374,51.7,0.2,26.0,31.2
2024,20232024,11,Arizona,Pac-12,36,27,9,1485,71.8,665,133,300,2667,58.3,117.6,1124,2321,48.4,840,1545,54.4,284,776,36.6,605,844,71.7,471,1062,1533,430,10,591,9,0,3137,1516,609,592,54.5,0.16,30.7,36.4,496,132,250,2666,51.7,97.3,949,2252,42.1,668,1399,47.7,281,853,32.9,415,583,71.2,323,852,1175,483,23,684,8,0,2594,1068,435,346,48.4,0.18,27.5,25.9
2024,20232024,12,Arkansas,SEC,33,16,17,1370,69.6,387,201,198,2385,56.4,107.6,859,1898,45.3,660,1273,51.8,199,625,31.8,649,859,75.6,281,859,1140,395,25,659,18,1,2566,1122,393,404,50.5,0.17,24.6,45.3,428,96,213,2385,55.1,110.4,909,2039,44.6,673,1343,50.1,236,696,33.9,579,796,72.7,366,834,1200,365,8,685,10,0,2633,1186,440,434,50.4,0.15,30.5,39.0
2024,20232024,13,Arkansas State,Sun Belt,37,20,17,1495,69.1,536,163,207,2584,55.1,112.9,1021,2313,44.1,680,1322,51.4,341,991,34.4,534,761,70.2,489,930,1419,414,20,645,9,0,2917,1296,418,321,51.5,0.16,34.5,32.9,414,158,258,2582,55.3,110.4,1023,2234,45.8,811,1632,49.7,212,602,35.2,592,778,76.1,377,927,1304,369,12,612,9,0,2850,1348,488,332,50.5,0.14,28.9,34.8
